Stock_Ticker,Decision_Date
POWI,"December 12, 2016"
YHOO,"May 31, 2016"
HPQ,"March 16, 2017"
NTGR,"March 16, 2017"
SNPS,"March 16, 2017"
VAR,"March 16, 2017"
YHOO,"May 31, 2016"
ABBV,"July 21, 2015"
AMGN,"July 21, 2015"
SNPS,"March 16, 2017"
SNPS,"March 16, 2017"
IMMR,"June 21, 2016"
RMD,"April 22, 2016"
FB,"September 9, 2016"
FB,"September 9, 2016"
FB,"September 9, 2016"
FB,"September 9, 2016"
FB,"September 9, 2016"
TWTR,"September 9, 2016"
TWTR,"September 9, 2016"
TWTR,"September 9, 2016"
TWTR,"September 9, 2016"
TWTR,"September 9, 2016"
NUVA,"December 7, 2016"
CENT,"February 29, 2016"
NUVA,"November 9, 2016"
NUVA,"November 9, 2016"
ADBE,"August 18, 2016"
CSCO,"August 18, 2016"
ORCL,"August 18, 2016"
AAPL,"July 30, 2015"
AAPL,"November 29, 2016"
AAPL,"November 29, 2016"
AAPL,"July 22, 2016"
INTC,"September 30, 2016"
SYMC,"September 30, 2016"
WILN,"January 17, 2017"
INTC,"September 30, 2016"
SYMC,"September 30, 2016"
AGYS,"November 29, 2016"
AAPL,"November 29, 2016"
LYV,"November 29, 2016"
ORCL,"November 29, 2016"
SBUX,"November 29, 2016"
AGYS,"November 29, 2016"
AAPL,"November 29, 2016"
LYV,"November 29, 2016"
ORCL,"November 29, 2016"
SBUX,"November 29, 2016"
WILN,"January 17, 2017"
EBAY,"November 21, 2016"
RHT,"November 21, 2016"
FB,"November 17, 2016"
MSFT,"November 17, 2016"
NUVA,"May 31, 2017"
FB,"November 17, 2016"
SYMC,"August 30, 2016"
LLNW,"February 15, 2017"
XLNX,"February 15, 2017"
BWA,"December 12, 2016"
MU,"August 19, 2016"
AAPL,"February 26, 2016"
AAPL,"February 17, 2017"
AAPL,"February 17, 2017"
AAPL,"August 10, 2016"
ST,"April 4, 2017"
ST,"April 4, 2017"
ST,"April 4, 2017"
CSCO,"September 23, 2016"
JKHY,"October 13, 2016"
JKHY,"October 13, 2016"
AAPL,"March 1, 2017"
AKRX,"March 17, 2017"
BMRN,"April 25, 2017"
ERIE,"March 7, 2017"
AAPL,"February 14, 2017"
FISV,"October 13, 2016"
FISV,"October 13, 2016"
ALLY,"February 21, 2017"
GE,"February 21, 2017"
USB,"February 21, 2017"
MSFT,"April 20, 2017"
MSFT,"April 20, 2017"
CBSH,"March 27, 2017"
CBSH,"March 27, 2017"
IBM,"March 27, 2017"
LLY,"February 28, 2017"
JCOM,"March 29, 2017"
F,"March 7, 2017"
INTC,"May 3, 2017"
SYMC,"May 3, 2017"
SNPS,"April 24, 2017"
SNPS,"April 24, 2017"
